filepath,skater,camera,jump_type,attempt_number,group_id,is_combination,is_target_class,split,file_size_bytes,mp4_header_ok
skater_A/cam_1/Axel_1.mp4,A,1,Axel,1,A_Axel_1,False,True,,2490664,True
skater_A/cam_1/Axel_10.mp4,A,1,Axel,10,A_Axel_10,False,True,,2537900,True
skater_A/cam_1/Axel_2.mp4,A,1,Axel,2,A_Axel_2,False,True,,3085273,True
skater_A/cam_1/Axel_3.mp4,A,1,Axel,3,A_Axel_3,False,True,,2589403,True
skater_A/cam_1/Axel_4.mp4,A,1,Axel,4,A_Axel_4,False,True,,2555386,True
skater_A/cam_1/Axel_5.mp4,A,1,Axel,5,A_Axel_5,False,True,,2779002,True
skater_A/cam_1/Axel_6.mp4,A,1,Axel,6,A_Axel_6,False,True,,3003848,True
skater_A/cam_1/Axel_7.mp4,A,1,Axel,7,A_Axel_7,False,True,,2482482,True
skater_A/cam_1/Axel_8.mp4,A,1,Axel,8,A_Axel_8,False,True,,3029817,True
skater_A/cam_1/Axel_9.mp4,A,1,Axel,9,A_Axel_9,False,True,,2585090,True
skater_A/cam_1/Comb_1.mp4,A,1,Comb,1,A_Comb_1,True,False,,5619032,True
skater_A/cam_1/Comb_2.mp4,A,1,Comb,2,A_Comb_2,True,False,,5002905,True
skater_A/cam_1/Comb_3.mp4,A,1,Comb,3,A_Comb_3,True,False,,5079251,True
skater_A/cam_1/Flip_1.mp4,A,1,Flip,1,A_Flip_1,False,True,,3106338,True
skater_A/cam_1/Flip_10.mp4,A,1,Flip,10,A_Flip_10,False,True,,2763082,True
skater_A/cam_1/Flip_2.mp4,A,1,Flip,2,A_Flip_2,False,True,,3120907,True
skater_A/cam_1/Flip_3.mp4,A,1,Flip,3,A_Flip_3,False,True,,2723351,True
skater_A/cam_1/Flip_4.mp4,A,1,Flip,4,A_Flip_4,False,True,,3050010,True
skater_A/cam_1/Flip_5.mp4,A,1,Flip,5,A_Flip_5,False,True,,3076593,True
skater_A/cam_1/Flip_6.mp4,A,1,Flip,6,A_Flip_6,False,True,,2962041,True
skater_A/cam_1/Flip_7.mp4,A,1,Flip,7,A_Flip_7,False,True,,3046103,True
skater_A/cam_1/Flip_8.mp4,A,1,Flip,8,A_Flip_8,False,True,,2999943,True
skater_A/cam_1/Flip_9.mp4,A,1,Flip,9,A_Flip_9,False,True,,2912566,True
skater_A/cam_1/Loop_1.mp4,A,1,Loop,1,A_Loop_1,False,True,,2839721,True
skater_A/cam_1/Loop_10.mp4,A,1,Loop,10,A_Loop_10,False,True,,2546834,True
skater_A/cam_1/Loop_2.mp4,A,1,Loop,2,A_Loop_2,False,True,,2629838,True
skater_A/cam_1/Loop_3.mp4,A,1,Loop,3,A_Loop_3,False,True,,2768047,True
skater_A/cam_1/Loop_4.mp4,A,1,Loop,4,A_Loop_4,False,True,,3166867,True
skater_A/cam_1/Loop_5.mp4,A,1,Loop,5,A_Loop_5,False,True,,3108274,True
skater_A/cam_1/Loop_6.mp4,A,1,Loop,6,A_Loop_6,False,True,,2560744,True
skater_A/cam_1/Loop_7.mp4,A,1,Loop,7,A_Loop_7,False,True,,2750523,True
skater_A/cam_1/Loop_8.mp4,A,1,Loop,8,A_Loop_8,False,True,,3010655,True
skater_A/cam_1/Loop_9.mp4,A,1,Loop,9,A_Loop_9,False,True,,3030076,True
skater_A/cam_1/Lutz_1.mp4,A,1,Lutz,1,A_Lutz_1,False,True,,3250052,True
skater_A/cam_1/Lutz_10.mp4,A,1,Lutz,10,A_Lutz_10,False,True,,2603823,True
skater_A/cam_1/Lutz_2.mp4,A,1,Lutz,2,A_Lutz_2,False,True,,2498934,True
skater_A/cam_1/Lutz_3.mp4,A,1,Lutz,3,A_Lutz_3,False,True,,2528627,True
skater_A/cam_1/Lutz_4.mp4,A,1,Lutz,4,A_Lutz_4,False,True,,2624657,True
skater_A/cam_1/Lutz_5.mp4,A,1,Lutz,5,A_Lutz_5,False,True,,3051124,True
skater_A/cam_1/Lutz_6.mp4,A,1,Lutz,6,A_Lutz_6,False,True,,3013756,True
skater_A/cam_1/Lutz_7.mp4,A,1,Lutz,7,A_Lutz_7,False,True,,2816999,True
skater_A/cam_1/Lutz_8.mp4,A,1,Lutz,8,A_Lutz_8,False,True,,3144104,True
skater_A/cam_1/Lutz_9.mp4,A,1,Lutz,9,A_Lutz_9,False,True,,2921677,True
skater_A/cam_1/Salchow_1.mp4,A,1,Salchow,1,A_Salchow_1,False,True,,2862926,True
skater_A/cam_1/Salchow_10.mp4,A,1,Salchow,10,A_Salchow_10,False,True,,3023338,True
skater_A/cam_1/Salchow_2.mp4,A,1,Salchow,2,A_Salchow_2,False,True,,2575050,True
skater_A/cam_1/Salchow_3.mp4,A,1,Salchow,3,A_Salchow_3,False,True,,2696891,True
skater_A/cam_1/Salchow_4.mp4,A,1,Salchow,4,A_Salchow_4,False,True,,3073683,True
