filepath,skater,camera,jump_type,attempt_number,group_id,is_combination,is_target_class,split,file_size_bytes,mp4_header_ok
skater_A/cam_1/Axel_1.mp4,A,1,Axel,1,A_Axel_1,False,True,test,2490664,True
skater_A/cam_1/Axel_10.mp4,A,1,Axel,10,A_Axel_10,False,True,test,2537900,True
skater_A/cam_1/Axel_2.mp4,A,1,Axel,2,A_Axel_2,False,True,train,3085273,True
skater_A/cam_1/Axel_3.mp4,A,1,Axel,3,A_Axel_3,False,True,train,2589403,True
skater_A/cam_1/Axel_4.mp4,A,1,Axel,4,A_Axel_4,False,True,val,2555386,True
skater_A/cam_1/Axel_5.mp4,A,1,Axel,5,A_Axel_5,False,True,train,2779002,True
skater_A/cam_1/Axel_6.mp4,A,1,Axel,6,A_Axel_6,False,True,train,3003848,True
skater_A/cam_1/Axel_7.mp4,A,1,Axel,7,A_Axel_7,False,True,train,2482482,True
skater_A/cam_1/Axel_8.mp4,A,1,Axel,8,A_Axel_8,False,True,train,3029817,True
skater_A/cam_1/Axel_9.mp4,A,1,Axel,9,A_Axel_9,False,True,train,2585090,True
skater_A/cam_1/Flip_1.mp4,A,1,Flip,1,A_Flip_1,False,True,val,3106338,True
skater_A/cam_1/Flip_10.mp4,A,1,Flip,10,A_Flip_10,False,True,train,2763082,True
skater_A/cam_1/Flip_2.mp4,A,1,Flip,2,A_Flip_2,False,True,train,3120907,True
skater_A/cam_1/Flip_3.mp4,A,1,Flip,3,A_Flip_3,False,True,train,2723351,True
skater_A/cam_1/Flip_4.mp4,A,1,Flip,4,A_Flip_4,False,True,train,3050010,True
skater_A/cam_1/Flip_5.mp4,A,1,Flip,5,A_Flip_5,False,True,train,3076593,True
skater_A/cam_1/Flip_6.mp4,A,1,Flip,6,A_Flip_6,False,True,val,2962041,True
skater_A/cam_1/Flip_7.mp4,A,1,Flip,7,A_Flip_7,False,True,train,3046103,True
skater_A/cam_1/Flip_8.mp4,A,1,Flip,8,A_Flip_8,False,True,train,2999943,True
skater_A/cam_1/Flip_9.mp4,A,1,Flip,9,A_Flip_9,False,True,test,2912566,True
skater_A/cam_1/Loop_1.mp4,A,1,Loop,1,A_Loop_1,False,True,train,2839721,True
skater_A/cam_1/Loop_10.mp4,A,1,Loop,10,A_Loop_10,False,True,train,2546834,True
skater_A/cam_1/Loop_2.mp4,A,1,Loop,2,A_Loop_2,False,True,train,2629838,True
skater_A/cam_1/Loop_3.mp4,A,1,Loop,3,A_Loop_3,False,True,test,2768047,True
skater_A/cam_1/Loop_4.mp4,A,1,Loop,4,A_Loop_4,False,True,train,3166867,True
skater_A/cam_1/Loop_5.mp4,A,1,Loop,5,A_Loop_5,False,True,train,3108274,True
skater_A/cam_1/Loop_6.mp4,A,1,Loop,6,A_Loop_6,False,True,val,2560744,True
skater_A/cam_1/Loop_7.mp4,A,1,Loop,7,A_Loop_7,False,True,train,2750523,True
skater_A/cam_1/Loop_8.mp4,A,1,Loop,8,A_Loop_8,False,True,test,3010655,True
skater_A/cam_1/Loop_9.mp4,A,1,Loop,9,A_Loop_9,False,True,train,3030076,True
skater_A/cam_1/Lutz_1.mp4,A,1,Lutz,1,A_Lutz_1,False,True,train,3250052,True
skater_A/cam_1/Lutz_10.mp4,A,1,Lutz,10,A_Lutz_10,False,True,train,2603823,True
skater_A/cam_1/Lutz_2.mp4,A,1,Lutz,2,A_Lutz_2,False,True,train,2498934,True
skater_A/cam_1/Lutz_3.mp4,A,1,Lutz,3,A_Lutz_3,False,True,train,2528627,True
skater_A/cam_1/Lutz_4.mp4,A,1,Lutz,4,A_Lutz_4,False,True,val,2624657,True
skater_A/cam_1/Lutz_5.mp4,A,1,Lutz,5,A_Lutz_5,False,True,val,3051124,True
skater_A/cam_1/Lutz_6.mp4,A,1,Lutz,6,A_Lutz_6,False,True,test,3013756,True
skater_A/cam_1/Lutz_7.mp4,A,1,Lutz,7,A_Lutz_7,False,True,train,2816999,True
skater_A/cam_1/Lutz_8.mp4,A,1,Lutz,8,A_Lutz_8,False,True,train,3144104,True
skater_A/cam_1/Lutz_9.mp4,A,1,Lutz,9,A_Lutz_9,False,True,train,2921677,True
skater_A/cam_1/Salchow_1.mp4,A,1,Salchow,1,A_Salchow_1,False,True,train,2862926,True
skater_A/cam_1/Salchow_10.mp4,A,1,Salchow,10,A_Salchow_10,False,True,test,3023338,True
skater_A/cam_1/Salchow_2.mp4,A,1,Salchow,2,A_Salchow_2,False,True,train,2575050,True
skater_A/cam_1/Salchow_3.mp4,A,1,Salchow,3,A_Salchow_3,False,True,train,2696891,True
skater_A/cam_1/Salchow_4.mp4,A,1,Salchow,4,A_Salchow_4,False,True,train,3073683,True
skater_A/cam_1/Salchow_5.mp4,A,1,Salchow,5,A_Salchow_5,False,True,test,2835332,True
skater_A/cam_1/Salchow_6.mp4,A,1,Salchow,6,A_Salchow_6,False,True,train,2790985,True
skater_A/cam_1/Salchow_7.mp4,A,1,Salchow,7,A_Salchow_7,False,True,train,2850281,True
skater_A/cam_1/Salchow_8.mp4,A,1,Salchow,8,A_Salchow_8,False,True,val,3060391,True
skater_A/cam_1/Salchow_9.mp4,A,1,Salchow,9,A_Salchow_9,False,True,train,2722586,True
skater_A/cam_1/Toeloop_1.mp4,A,1,Toeloop,1,A_Toeloop_1,False,True,train,2822976,True
skater_A/cam_1/Toeloop_10.mp4,A,1,Toeloop,10,A_Toeloop_10,False,True,val,2854411,True
skater_A/cam_1/Toeloop_2.mp4,A,1,Toeloop,2,A_Toeloop_2,False,True,train,2783277,True
skater_A/cam_1/Toeloop_3.mp4,A,1,Toeloop,3,A_Toeloop_3,False,True,train,3174040,True
skater_A/cam_1/Toeloop_4.mp4,A,1,Toeloop,4,A_Toeloop_4,False,True,val,2885523,True
skater_A/cam_1/Toeloop_5.mp4,A,1,Toeloop,5,A_Toeloop_5,False,True,train,2654230,True
skater_A/cam_1/Toeloop_6.mp4,A,1,Toeloop,6,A_Toeloop_6,False,True,test,3096756,True
skater_A/cam_1/Toeloop_7.mp4,A,1,Toeloop,7,A_Toeloop_7,False,True,train,2757503,True
skater_A/cam_1/Toeloop_8.mp4,A,1,Toeloop,8,A_Toeloop_8,False,True,train,2896868,True
skater_A/cam_1/Toeloop_9.mp4,A,1,Toeloop,9,A_Toeloop_9,False,True,train,2876035,True
skater_A/cam_10/Axel_1.mp4,A,10,Axel,1,A_Axel_1,False,True,test,2122126,True
skater_A/cam_10/Axel_10.mp4,A,10,Axel,10,A_Axel_10,False,True,test,2454100,True
skater_A/cam_10/Axel_2.mp4,A,10,Axel,2,A_Axel_2,False,True,train,2633420,True
skater_A/cam_10/Axel_3.mp4,A,10,Axel,3,A_Axel_3,False,True,train,2527045,True
skater_A/cam_10/Axel_4.mp4,A,10,Axel,4,A_Axel_4,False,True,val,2043023,True
skater_A/cam_10/Axel_5.mp4,A,10,Axel,5,A_Axel_5,False,True,train,2735706,True
skater_A/cam_10/Axel_6.mp4,A,10,Axel,6,A_Axel_6,False,True,train,2400947,True
skater_A/cam_10/Axel_7.mp4,A,10,Axel,7,A_Axel_7,False,True,train,2225373,True
skater_A/cam_10/Axel_8.mp4,A,10,Axel,8,A_Axel_8,False,True,train,2699568,True
skater_A/cam_10/Axel_9.mp4,A,10,Axel,9,A_Axel_9,False,True,train,2087059,True
skater_A/cam_10/Flip_1.mp4,A,10,Flip,1,A_Flip_1,False,True,val,2876136,True
skater_A/cam_10/Flip_10.mp4,A,10,Flip,10,A_Flip_10,False,True,train,2710341,True
skater_A/cam_10/Flip_2.mp4,A,10,Flip,2,A_Flip_2,False,True,train,2599668,True
skater_A/cam_10/Flip_3.mp4,A,10,Flip,3,A_Flip_3,False,True,train,2825052,True
skater_A/cam_10/Flip_4.mp4,A,10,Flip,4,A_Flip_4,False,True,train,2689627,True
skater_A/cam_10/Flip_5.mp4,A,10,Flip,5,A_Flip_5,False,True,train,2740747,True
skater_A/cam_10/Flip_6.mp4,A,10,Flip,6,A_Flip_6,False,True,val,2784137,True
skater_A/cam_10/Flip_7.mp4,A,10,Flip,7,A_Flip_7,False,True,train,2846096,True
skater_A/cam_10/Flip_8.mp4,A,10,Flip,8,A_Flip_8,False,True,train,2866410,True
skater_A/cam_10/Flip_9.mp4,A,10,Flip,9,A_Flip_9,False,True,test,2411056,True
skater_A/cam_10/Loop_1.mp4,A,10,Loop,1,A_Loop_1,False,True,train,2349437,True
skater_A/cam_10/Loop_10.mp4,A,10,Loop,10,A_Loop_10,False,True,train,2404071,True
skater_A/cam_10/Loop_2.mp4,A,10,Loop,2,A_Loop_2,False,True,train,2169366,True
skater_A/cam_10/Loop_3.mp4,A,10,Loop,3,A_Loop_3,False,True,test,2280558,True
skater_A/cam_10/Loop_4.mp4,A,10,Loop,4,A_Loop_4,False,True,train,2925894,True
skater_A/cam_10/Loop_5.mp4,A,10,Loop,5,A_Loop_5,False,True,train,2711251,True
skater_A/cam_10/Loop_6.mp4,A,10,Loop,6,A_Loop_6,False,True,val,1970716,True
skater_A/cam_10/Loop_7.mp4,A,10,Loop,7,A_Loop_7,False,True,train,2126032,True
skater_A/cam_10/Loop_8.mp4,A,10,Loop,8,A_Loop_8,False,True,test,2563043,True
skater_A/cam_10/Loop_9.mp4,A,10,Loop,9,A_Loop_9,False,True,train,2824522,True
skater_A/cam_10/Lutz_1.mp4,A,10,Lutz,1,A_Lutz_1,False,True,train,2736164,True
skater_A/cam_10/Lutz_10.mp4,A,10,Lutz,10,A_Lutz_10,False,True,train,2558645,True
skater_A/cam_10/Lutz_2.mp4,A,10,Lutz,2,A_Lutz_2,False,True,train,2336314,True
skater_A/cam_10/Lutz_3.mp4,A,10,Lutz,3,A_Lutz_3,False,True,train,2537126,True
skater_A/cam_10/Lutz_4.mp4,A,10,Lutz,4,A_Lutz_4,False,True,val,2451295,True
skater_A/cam_10/Lutz_5.mp4,A,10,Lutz,5,A_Lutz_5,False,True,val,2772622,True
skater_A/cam_10/Lutz_6.mp4,A,10,Lutz,6,A_Lutz_6,False,True,test,2902013,True
skater_A/cam_10/Lutz_7.mp4,A,10,Lutz,7,A_Lutz_7,False,True,train,2531789,True
skater_A/cam_10/Lutz_8.mp4,A,10,Lutz,8,A_Lutz_8,False,True,train,2878600,True
skater_A/cam_10/Lutz_9.mp4,A,10,Lutz,9,A_Lutz_9,False,True,train,2342709,True
skater_A/cam_10/Salchow_1.mp4,A,10,Salchow,1,A_Salchow_1,False,True,train,2350965,True
skater_A/cam_10/Salchow_10.mp4,A,10,Salchow,10,A_Salchow_10,False,True,test,2549042,True
skater_A/cam_10/Salchow_2.mp4,A,10,Salchow,2,A_Salchow_2,False,True,train,2326679,True
skater_A/cam_10/Salchow_3.mp4,A,10,Salchow,3,A_Salchow_3,False,True,train,2207739,True
skater_A/cam_10/Salchow_4.mp4,A,10,Salchow,4,A_Salchow_4,False,True,train,2834681,True
skater_A/cam_10/Salchow_5.mp4,A,10,Salchow,5,A_Salchow_5,False,True,test,2323135,True
skater_A/cam_10/Salchow_6.mp4,A,10,Salchow,6,A_Salchow_6,False,True,train,2541716,True
skater_A/cam_10/Salchow_7.mp4,A,10,Salchow,7,A_Salchow_7,False,True,train,2315620,True
skater_A/cam_10/Salchow_8.mp4,A,10,Salchow,8,A_Salchow_8,False,True,val,2828473,True
skater_A/cam_10/Salchow_9.mp4,A,10,Salchow,9,A_Salchow_9,False,True,train,2574288,True
skater_A/cam_10/Toeloop_1.mp4,A,10,Toeloop,1,A_Toeloop_1,False,True,train,2820666,True
